date,delta,omicron
4/20/21,0.01,0
4/21/21,0.01,0
4/22/21,0.01,0
4/23/21,0.01,0
4/24/21,0.01,0
4/25/21,0.01,0
4/26/21,0.01,0
4/27/21,0.01,0
4/28/21,0.01,0
4/29/21,0.01,0
4/30/21,0.01,0
5/1/21,0.01,0
5/2/21,0.01,0
5/3/21,0.01,0
5/4/21,0.02,0
5/5/21,0.02,0
5/6/21,0.02,0
5/7/21,0.02,0
5/8/21,0.02,0
5/9/21,0.02,0
5/10/21,0.02,0
5/11/21,0.03,0
5/12/21,0.03,0
5/13/21,0.03,0
5/14/21,0.03,0
5/15/21,0.03,0
5/16/21,0.04,0
5/17/21,0.04,0
5/18/21,0.04,0
5/19/21,0.05,0
5/20/21,0.05,0
5/21/21,0.05,0
5/22/21,0.06,0
5/23/21,0.06,0
5/24/21,0.07,0
5/25/21,0.07,0
5/26/21,0.08,0
5/27/21,0.08,0
5/28/21,0.09,0
5/29/21,0.1,0
5/30/21,0.1,0
5/31/21,0.11,0
6/1/21,0.12,0
6/2/21,0.13,0
6/3/21,0.14,0
6/4/21,0.15,0
6/5/21,0.16,0
6/6/21,0.17,0
6/7/21,0.18,0
6/8/21,0.19,0
6/9/21,0.2,0
6/10/21,0.21,0
6/11/21,0.23,0
6/12/21,0.24,0
6/13/21,0.26,0
6/14/21,0.27,0
6/15/21,0.29,0
6/16/21,0.3,0
6/17/21,0.32,0
6/18/21,0.34,0
6/19/21,0.35,0
6/20/21,0.37,0
6/21/21,0.39,0
6/22/21,0.41,0
6/23/21,0.43,0
6/24/21,0.45,0
6/25/21,0.47,0
6/26/21,0.49,0
6/27/21,0.51,0
6/28/21,0.52,0
6/29/21,0.54,0
6/30/21,0.56,0
7/1/21,0.58,0
7/2/21,0.6,0
7/3/21,0.62,0
7/4/21,0.64,0
7/5/21,0.66,0
7/6/21,0.67,0
7/7/21,0.69,0
7/8/21,0.71,0
7/9/21,0.72,0
7/10/21,0.74,0
7/11/21,0.76,0
7/12/21,0.77,0
7/13/21,0.78,0
7/14/21,0.8,0
7/15/21,0.81,0
7/16/21,0.82,0
7/17/21,0.83,0
7/18/21,0.84,0
7/19/21,0.85,0
7/20/21,0.86,0
7/21/21,0.87,0
7/22/21,0.88,0
7/23/21,0.89,0
7/24/21,0.9,0
7/25/21,0.91,0
7/26/21,0.91,0
7/27/21,0.92,0
7/28/21,0.93,0
7/29/21,0.93,0
7/30/21,0.94,0
7/31/21,0.94,0
8/1/21,0.95,0
8/2/21,0.95,0
8/3/21,0.96,0
8/4/21,0.96,0
8/5/21,0.96,0
8/6/21,0.97,0
8/7/21,0.97,0
8/8/21,0.97,0
8/9/21,0.98,0
8/10/21,0.98,0
8/11/21,0.98,0
8/12/21,0.98,0
8/13/21,0.98,0
8/14/21,0.99,0
8/15/21,0.99,0
8/16/21,0.99,0
8/17/21,0.99,0
8/18/21,0.99,0
8/19/21,0.99,0
8/20/21,1,0
8/21/21,1,0
8/22/21,1,0
8/23/21,1,0
8/24/21,1,0
8/25/21,1,0
8/26/21,1,0
8/27/21,1,0
8/28/21,1,0
8/29/21,1,0
8/30/21,1,0
8/31/21,1,0
9/1/21,1,0
9/2/21,1,0
9/3/21,1,0
9/4/21,1,0
9/5/21,1,0
9/6/21,1,0
9/7/21,1,0
9/8/21,1,0
9/9/21,1,0
9/10/21,1,0
9/11/21,1,0
9/12/21,1,0
9/13/21,1,0
9/14/21,1,0
9/15/21,1,0
9/16/21,1,0
9/17/21,1,0
9/18/21,1,0
9/19/21,1,0
9/20/21,1,0
9/21/21,1,0
9/22/21,1,0
9/23/21,1,0
9/24/21,1,0
9/25/21,1,0
9/26/21,1,0
9/27/21,1,0
9/28/21,1,0
9/29/21,1,0
9/30/21,1,0
10/1/21,1,0
10/2/21,1,0
10/3/21,1,0
10/4/21,1,0
10/5/21,1,0
10/6/21,1,0
10/7/21,1,0
10/8/21,1,0
10/9/21,1,0
10/10/21,1,0
10/11/21,1,0
10/12/21,1,0
10/13/21,1,0
10/14/21,1,0
10/15/21,1,0
10/16/21,1,0
10/17/21,1,0
10/18/21,1,0
10/19/21,1,0
10/20/21,1,0
10/21/21,1,0
10/22/21,1,0
10/23/21,1,0
10/24/21,1,0
10/25/21,1,0
10/26/21,1,0
10/27/21,1,0
10/28/21,1,0
10/29/21,1,0
10/30/21,1,0
10/31/21,1,0
11/1/21,1,0
11/2/21,1,0
11/3/21,1,0
11/4/21,1,0
11/5/21,1,0
11/6/21,1,0
11/7/21,1,0
11/8/21,1,0
11/9/21,1,0
11/10/21,1,0
11/11/21,1,0
11/12/21,1,0
11/13/21,1,0
11/14/21,1,0
11/15/21,1,0
11/16/21,1,0
11/17/21,1,0
11/18/21,1,0
11/19/21,1,0
11/20/21,1,0
11/21/21,1,0
11/22/21,1,0
11/23/21,1,0
11/24/21,1,0
11/25/21,1,0
11/26/21,1,0
11/27/21,1,0
11/28/21,1,0
11/29/21,1,0
11/30/21,1,0
12/1/21,1,0
12/2/21,1,0
12/3/21,1,0
12/4/21,0.99,0.01
12/5/21,0.99,0.01
12/6/21,0.99,0.01
12/7/21,0.98,0.02
12/8/21,0.97,0.03
12/9/21,0.96,0.04
12/10/21,0.95,0.05
12/11/21,0.93,0.07
12/12/21,0.9,0.1
12/13/21,0.86,0.14
12/14/21,0.81,0.19
12/15/21,0.75,0.25
12/16/21,0.68,0.32
12/17/21,0.6,0.4
12/18/21,0.51,0.49
12/19/21,0.43,0.57
12/20/21,0.34,0.66
12/21/21,0.27,0.73
12/22/21,0.21,0.79
12/23/21,0.16,0.84
12/24/21,0.12,0.88
12/25/21,0.09,0.91
12/26/21,0.06,0.94
12/27/21,0.05,0.95
12/28/21,0.04,0.96
12/29/21,0.03,0.97
12/30/21,0.02,0.98
12/31/21,0.02,0.98
1/1/22,0.01,0.99
1/2/22,0.01,0.99
1/3/22,0.01,0.99
1/4/22,0.01,0.99
1/5/22,0.01,0.99
1/6/22,0.01,0.99
1/7/22,0.01,0.99
1/8/22,0.01,0.99
1/9/22,0.01,0.99
1/10/22,0,1
1/11/22,0,1
1/12/22,0,1
1/13/22,0,1
1/14/22,0,1
1/15/22,0,1
1/16/22,0,1
1/17/22,0,1
1/18/22,0,1
1/19/22,0,1
1/20/22,0,1
1/21/22,0,1
1/22/22,0,1
1/23/22,0,1
1/24/22,0,1
1/25/22,0,1
1/26/22,0,1
1/27/22,0,1
1/28/22,0,1
1/29/22,0,1
1/30/22,0,1
1/31/22,0,1
2/1/22,0,1
2/2/22,0,1
2/3/22,0,1
2/4/22,0,1
2/5/22,0,1
2/6/22,0,1
2/7/22,0,1
2/8/22,0,1
2/9/22,0,1
2/10/22,0,1
2/11/22,0,1
2/12/22,0,1
2/13/22,0,1
2/14/22,0,1
2/15/22,0,1
2/16/22,0,1
2/17/22,0,1
2/18/22,0,1
2/19/22,0,1
2/20/22,0,1
2/21/22,0,1
2/22/22,0,1
2/23/22,0,1
2/24/22,0,1
2/25/22,0,1
2/26/22,0,1
2/27/22,0,1
2/28/22,0,1
3/1/22,0,1
3/2/22,0,1
3/3/22,0,1
3/4/22,0,1
3/5/22,0,1
3/6/22,0,1
3/7/22,0,1
3/8/22,0,1
3/9/22,0,1
3/10/22,0,1
3/11/22,0,1
3/12/22,0,1
3/13/22,0,1
3/14/22,0,1
3/15/22,0,1
3/16/22,0,1
3/17/22,0,1
3/18/22,0,1
3/19/22,0,1
3/20/22,0,1
3/21/22,0,1
3/22/22,0,1
3/23/22,0,1
3/24/22,0,1
3/25/22,0,1
3/26/22,0,1
3/27/22,0,1
3/28/22,0,1
3/29/22,0,1
3/30/22,0,1
3/31/22,0,1
4/1/22,0,1
4/2/22,0,1
4/3/22,0,1
4/4/22,0,1
4/5/22,0,1
4/6/22,0,1
4/7/22,0,1
4/8/22,0,1
4/9/22,0,1
4/10/22,0,1
4/11/22,0,1
4/12/22,0,1
4/13/22,0,1
4/14/22,0,1
4/15/22,0,1
4/16/22,0,1
4/17/22,0,1
4/18/22,0,1
4/19/22,0,1
4/20/22,0,1
4/21/22,0,1
4/22/22,0,1
4/23/22,0,1
4/24/22,0,1
4/25/22,0,1
4/26/22,0,1
4/27/22,0,1
4/28/22,0,1
4/29/22,0,1
4/30/22,0,1
5/1/22,0,1
5/2/22,0,1
5/3/22,0,1
5/4/22,0,1
5/5/22,0,1
5/6/22,0,1
5/7/22,0,1
5/8/22,0,1
5/9/22,0,1
5/10/22,0,1
5/11/22,0,1
5/12/22,0,1
5/13/22,0,1
5/14/22,0,1
5/15/22,0,1
5/16/22,0,1
5/17/22,0,1
5/18/22,0,1
5/19/22,0,1
5/20/22,0,1
5/21/22,0,1
5/22/22,0,1
5/23/22,0,1
5/24/22,0,1
5/25/22,0,1
5/26/22,0,1
5/27/22,0,1
5/28/22,0,1
5/29/22,0,1
5/30/22,0,1
5/31/22,0,1
6/1/22,0,1
6/2/22,0,1
6/3/22,0,1
6/4/22,0,1
6/5/22,0,1
6/6/22,0,1
6/7/22,0,1
6/8/22,0,1
6/9/22,0,1
6/10/22,0,1
6/11/22,0,1
6/12/22,0,1
6/13/22,0,1
6/14/22,0,1
6/15/22,0,1
6/16/22,0,1
6/17/22,0,1
6/18/22,0,1
6/19/22,0,1
6/20/22,0,1
6/21/22,0,1
6/22/22,0,1
6/23/22,0,1
6/24/22,0,1
6/25/22,0,1
6/26/22,0,1
6/27/22,0,1
6/28/22,0,1
6/29/22,0,1
6/30/22,0,1
7/1/22,0,1
7/2/22,0,1
7/3/22,0,1
7/4/22,0,1
7/5/22,0,1
7/6/22,0,1
7/7/22,0,1
7/8/22,0,1
7/9/22,0,1
7/10/22,0,1
7/11/22,0,1
7/12/22,0,1
7/13/22,0,1
7/14/22,0,1
7/15/22,0,1
7/16/22,0,1
7/17/22,0,1
7/18/22,0,1
7/19/22,0,1
7/20/22,0,1
7/21/22,0,1
7/22/22,0,1
7/23/22,0,1
7/24/22,0,1
7/25/22,0,1
7/26/22,0,1
7/27/22,0,1
7/28/22,0,1
7/29/22,0,1
7/30/22,0,1
7/31/22,0,1
8/1/22,0,1
8/2/22,0,1
8/3/22,0,1
8/4/22,0,1
8/5/22,0,1
8/6/22,0,1
8/7/22,0,1
8/8/22,0,1
8/9/22,0,1
8/10/22,0,1
8/11/22,0,1
8/12/22,0,1
8/13/22,0,1
8/14/22,0,1
8/15/22,0,1
8/16/22,0,1
8/17/22,0,1
8/18/22,0,1
8/19/22,0,1
8/20/22,0,1
8/21/22,0,1
8/22/22,0,1
8/23/22,0,1
8/24/22,0,1
8/25/22,0,1
8/26/22,0,1
8/27/22,0,1
8/28/22,0,1
8/29/22,0,1
8/30/22,0,1
8/31/22,0,1
9/1/22,0,1
9/2/22,0,1
9/3/22,0,1
9/4/22,0,1
9/5/22,0,1
9/6/22,0,1
9/7/22,0,1
9/8/22,0,1
9/9/22,0,1
9/10/22,0,1
9/11/22,0,1
9/12/22,0,1
9/13/22,0,1
9/14/22,0,1
9/15/22,0,1
9/16/22,0,1
9/17/22,0,1
9/18/22,0,1
9/19/22,0,1
9/20/22,0,1
9/21/22,0,1
9/22/22,0,1
9/23/22,0,1
9/24/22,0,1
9/25/22,0,1
9/26/22,0,1
9/27/22,0,1
9/28/22,0,1
9/29/22,0,1
9/30/22,0,1